gene	corr	pvalue	gene_mod	pc_mod
ENSG00000137710.14	0.764232643826701	1.5045316321945e-35	9	1
ENSG00000132781.17	0.76426308646268	1.48965069473783e-35	16	15
ENSG00000172888.11	0.76435754731397	1.44439305723347e-35	9	18
ENSG00000050030.13	0.764423125565283	1.41377265487835e-35	7	19
ENSG00000162572.20	0.764456153663256	1.39859384321016e-35	14	16
ENSG00000124194.16	0.764562777240658	1.35067964477115e-35	7	9
ENSG00000168615.11	0.764571680273391	1.34675274557475e-35	9	12
ENSG00000053770.11	0.764822700429534	1.24054581791313e-35	12	3
ENSG00000179542.15	0.764942431543665	1.19283647378345e-35	7	18
ENSG00000008294.20	0.764963322016095	1.18469942090435e-35	9	8
ENSG00000117598.11	0.764987914455369	1.17519044869921e-35	7	19
ENSG00000135454.13	0.765064936342403	1.14589271179888e-35	1	7
ENSG00000101152.10	0.765119860297214	1.1254411820571e-35	15	1
ENSG00000172340.14	0.765164734683246	1.10899890636834e-35	9	2
ENSG00000184205.14	0.765164826195515	1.10896561857424e-35	8	9
ENSG00000178467.17	0.765172945391341	1.10601615605185e-35	8	14
ENSG00000119950.20	0.765195600674858	1.09782695779253e-35	9	18
ENSG00000137177.19	0.765261210356032	1.07444643586845e-35	4	9
ENSG00000132821.11	0.765407101207683	1.02420043064995e-35	19	26
ENSG00000171132.13	0.765452311591344	1.00910462063258e-35	7	15
ENSG00000172239.13	0.765501007538017	9.93090059013574e-36	12	14
ENSG00000151239.13	0.765618766399971	9.55390123355178e-36	9	8
ENSG00000164885.12	0.765620682128083	9.54788613808379e-36	1	9
ENSG00000090975.12	0.765636249407761	9.49914533806654e-36	1	8
ENSG00000166922.8	0.765675111452924	9.37853602181327e-36	7	1
ENSG00000154277.12	0.765692441372443	9.32523961698412e-36	7	19
ENSG00000163328.13	0.765739633268741	9.18161318870491e-36	1	15
ENSG00000166046.10	0.765746282547567	9.16155230769743e-36	9	18
ENSG00000178965.13	0.765750298704815	9.14945647405257e-36	1	7
ENSG00000176105.13	0.76585980944322	8.82562697429222e-36	9	8
ENSG00000092096.16	0.765873267374127	8.78661829887873e-36	8	26
ENSG00000148700.14	0.765906320885175	8.69152980155279e-36	9	2
ENSG00000176155.18	0.765995187542207	8.4408741798161e-36	14	3
ENSG00000266412.5	0.766001805541023	8.42249502373393e-36	9	14
ENSG00000232434.2	0.766024919632329	8.35861247170949e-36	8	1
ENSG00000143149.12	0.766029594885076	8.34574918626824e-36	9	2
ENSG00000198910.12	0.766116668030414	8.1097117353929e-36	7	26
ENSG00000133134.11	0.766119831935792	8.10125998453024e-36	7	18
ENSG00000105983.20	0.766230994831856	7.80975417268518e-36	3	15
ENSG00000072133.10	0.766246945280939	7.7687833694316e-36	1	15
ENSG00000140400.16	0.766290246188605	7.65862368703426e-36	16	14
ENSG00000213983.11	0.76629928090638	7.63583364100378e-36	14	12
ENSG00000133789.14	0.766385860583715	7.42079587209417e-36	9	8
ENSG00000172260.14	0.766443304373395	7.28142571409701e-36	7	18
ENSG00000132932.16	0.766463205148779	7.23374625963652e-36	7	19
