gene	corr	pvalue	gene_mod	pc_mod
ENSG00000164919.10	0.777197429468093	2.06086712026963e-20	1	6
ENSG00000137261.13	0.777281950168043	2.02909509620408e-20	1	14
ENSG00000170445.12	0.77731470999483	2.01690886283005e-20	1	10
ENSG00000109466.13	0.777425598813349	1.97618523412448e-20	10	1
ENSG00000111674.8	0.777428095205754	1.97527770132173e-20	1	13
ENSG00000145888.10	0.777457505411196	1.96461643067671e-20	1	6
ENSG00000122435.9	0.777497007108253	1.95038493323641e-20	3	1
ENSG00000107862.4	0.777525549799735	1.94016410443167e-20	1	14
ENSG00000149577.15	0.777537639278035	1.93585070413246e-20	3	8
ENSG00000131943.17	0.777572402915863	1.92349926654154e-20	1	10
ENSG00000129933.20	0.777602878716327	1.91273431791398e-20	3	8
ENSG00000143799.12	0.777647381622646	1.89711969510236e-20	6	10
ENSG00000142686.7	0.777741228145016	1.86459702271881e-20	1	6
ENSG00000139364.10	0.777742482131821	1.86416614158642e-20	1	6
ENSG00000184388.5	0.777750165877474	1.86152804994768e-20	1	6
ENSG00000115758.12	0.777783095017467	1.85026339055351e-20	4	12
ENSG00000267127.7	0.77779978066966	1.84458074959319e-20	8	11
ENSG00000067606.16	0.77788035112676	1.81737867473805e-20	1	13
ENSG00000160209.18	0.777909658101893	1.80758112619852e-20	1	10
ENSG00000122126.15	0.777922088273546	1.80344114507586e-20	1	10
ENSG00000160767.20	0.777951926015723	1.79354099064769e-20	1	6
ENSG00000174607.10	0.777952548962044	1.79333486118064e-20	3	12
ENSG00000187135.7	0.778060835471169	1.75785115020372e-20	3	14
ENSG00000139405.15	0.778062859669444	1.75719439442959e-20	1	10
ENSG00000257151.1	0.778090329684728	1.74830522868149e-20	1	6
ENSG00000170786.12	0.778093235271711	1.74736755450083e-20	1	6
ENSG00000182836.9	0.778117655345098	1.7395061429607e-20	1	6
ENSG00000197170.9	0.778150508625705	1.72898409017787e-20	1	10
ENSG00000204161.13	0.778186868285975	1.71741114719799e-20	3	14
ENSG00000165716.10	0.778200808745315	1.7129940244213e-20	1	6
ENSG00000085982.13	0.778211329552758	1.70966775299194e-20	3	8
ENSG00000157827.19	0.778220650358286	1.70672612064304e-20	3	10
ENSG00000167733.13	0.778223701781998	1.70576416513291e-20	1	6
ENSG00000126777.17	0.778227849601104	1.70445741800559e-20	10	14
ENSG00000111640.14	0.778228577716488	1.70422812975111e-20	1	10
ENSG00000169504.14	0.77828688095311	1.68596504701046e-20	6	1
ENSG00000182230.11	0.7783080437348	1.67938312209834e-20	1	6
ENSG00000008283.15	0.778322052838529	1.6750398374572e-20	1	6
ENSG00000167680.15	0.778357594530362	1.66406966621658e-20	1	6
ENSG00000108239.8	0.778387773320121	1.65480963518683e-20	3	14
ENSG00000167770.11	0.778496590031976	1.62183445232201e-20	1	6
ENSG00000166676.14	0.778519866344164	1.61486430847157e-20	1	10
ENSG00000144451.18	0.778557514419982	1.60365209315724e-20	6	1
ENSG00000078668.13	0.778560030389914	1.60290549921391e-20	1	6
ENSG00000130787.13	0.778663424563369	1.57251460585045e-20	3	8
ENSG00000154553.13	0.778670441818361	1.57047242671272e-20	4	13
ENSG00000148730.6	0.778745114739324	1.54889996592279e-20	4	12
ENSG00000283154.2	0.778749986800701	1.54750251630815e-20	3	12
ENSG00000198315.10	0.778841289978029	1.52153962855649e-20	6	1
ENSG00000109762.15	0.779046069789182	1.46483887682089e-20	1	6
ENSG00000143157.11	0.77908370254488	1.45464467608633e-20	10	14
ENSG00000203485.12	0.779121467861813	1.44448389856508e-20	3	8
ENSG00000189067.12	0.779152069805645	1.43630105821525e-20	3	10
ENSG00000152620.12	0.779330564853834	1.38946244308852e-20	4	13
ENSG00000177511.5	0.779352883649597	1.38371127356496e-20	1	6
ENSG00000138592.13	0.779364126233013	1.38082302297433e-20	5	11
ENSG00000100201.20	0.779369686360083	1.37939677748404e-20	3	8
ENSG00000188229.5	0.779420247350008	1.3664927619977e-20	1	10
ENSG00000145920.14	0.77950079824407	1.34617681993323e-20	1	6
ENSG00000005810.17	0.779545772214735	1.33496185590191e-20	1	6
ENSG00000148341.17	0.779571710014518	1.3285352050864e-20	3	12
ENSG00000092199.17	0.779590406135469	1.32392149709852e-20	6	1
ENSG00000156256.14	0.779610447524279	1.31899310746165e-20	10	1
ENSG00000090975.12	0.779632990162665	1.31347094250098e-20	1	10
ENSG00000143147.14	0.779759040341524	1.28300469789877e-20	1	3
ENSG00000188385.11	0.779797657960074	1.27380909074977e-20	3	12
ENSG00000117266.15	0.779803786677561	1.27235562617784e-20	3	12
ENSG00000162636.15	0.779817125685115	1.26919776528705e-20	1	6
ENSG00000159658.10	0.779826976722126	1.26687053415362e-20	10	1
ENSG00000185883.11	0.780000484870121	1.22655402962227e-20	1	6
ENSG00000105404.10	0.780001905470739	1.22622914130072e-20	1	6
ENSG00000123352.17	0.780038265691137	1.21794204740828e-20	1	6
ENSG00000129951.18	0.780090022253283	1.20623970041826e-20	1	6
ENSG00000169255.13	0.780221549295537	1.17699056986497e-20	1	3
ENSG00000162496.8	0.780250997963108	1.1705368276358e-20	4	13
ENSG00000075399.13	0.780287807769591	1.16251823007341e-20	1	6
ENSG00000172340.14	0.780339274734522	1.15139619302186e-20	4	13
ENSG00000127824.13	0.780442784318955	1.12934003242893e-20	1	10
ENSG00000163235.15	0.780470550959481	1.12349363374797e-20	3	10
ENSG00000139725.7	0.780483349019802	1.12080885588324e-20	1	10
ENSG00000271303.1	0.780544279928403	1.10811205201738e-20	1	3
ENSG00000138663.8	0.780576449867102	1.10146497575861e-20	1	3
ENSG00000033122.18	0.780630133457191	1.0904588736879e-20	1	6
ENSG00000188322.4	0.780706006570164	1.07508564179533e-20	1	6
ENSG00000086015.20	0.780711917849362	1.07389679816202e-20	1	6
ENSG00000172731.13	0.780714619989941	1.07335378432604e-20	1	10
ENSG00000154917.10	0.780717283378416	1.07281881917579e-20	1	6
ENSG00000178951.8	0.780734202538418	1.06942650361775e-20	1	6
ENSG00000112640.14	0.78073874244781	1.06851802104511e-20	1	10
ENSG00000225110.2	0.780800165112446	1.05630020220816e-20	1	6
ENSG00000272031.2	0.780806438296066	1.0550600490588e-20	1	13
ENSG00000155367.15	0.780829160645503	1.05057987693498e-20	1	6
ENSG00000114383.9	0.78087923832464	1.04077123688262e-20	1	6
ENSG00000102003.10	0.780950832795234	1.02690258383141e-20	1	13
ENSG00000153208.16	0.780963322621303	1.02450163771561e-20	4	12
ENSG00000109787.12	0.780980190880045	1.02126767548115e-20	6	1
ENSG00000156097.12	0.78101200291426	1.01519569228592e-20	1	13
ENSG00000119689.14	0.781094531341488	9.99606582463255e-21	4	14
ENSG00000156990.14	0.781105589320736	9.97535558460246e-21	1	6
ENSG00000261326.2	0.781115178720541	9.95742958634117e-21	3	8
ENSG00000197774.12	0.781190008855686	9.81861692562925e-21	1	6
ENSG00000105723.11	0.781244629022432	9.71848397674505e-21	1	13
ENSG00000142686.7	0.781251856588919	9.70530856514168e-21	1	13
ENSG00000104904.12	0.781272674687336	9.6674554016509e-21	1	3
ENSG00000107758.15	0.781386125967237	9.46367764250013e-21	1	6
ENSG00000197355.10	0.78140318118324	9.43340686830844e-21	3	8
ENSG00000205090.8	0.781509995223677	9.24595536764353e-21	1	6
ENSG00000100280.16	0.781540926943627	9.19235175149416e-21	1	3
ENSG00000196586.13	0.781558102456643	9.16271773999211e-21	10	3
ENSG00000129675.15	0.781575906829595	9.13209674755211e-21	4	13
ENSG00000165238.16	0.78158607510066	9.11465341763982e-21	1	6
ENSG00000086015.20	0.781614729771103	9.06567134210837e-21	1	10
ENSG00000118276.11	0.781682119450446	8.95148227391147e-21	1	6
ENSG00000184524.5	0.781713905881487	8.89810791430577e-21	1	10
ENSG00000073969.18	0.781725695508847	8.87839005340722e-21	1	6
ENSG00000104853.15	0.781768493473825	8.80716782803639e-21	1	10
ENSG00000122733.12	0.781843415685172	8.68382095161087e-21	1	6
ENSG00000116266.10	0.781973147176296	8.47419978751529e-21	3	1
ENSG00000159658.10	0.782030464424911	8.38316057216289e-21	10	6
ENSG00000119283.15	0.782038049912487	8.37118371558124e-21	1	6
ENSG00000163875.15	0.782039816865918	8.36839623192502e-21	1	6
ENSG00000261609.5	0.782050695798945	8.35125387781626e-21	4	14
